"Date_Time","Pollutant","Unit","Station","Instrument","Average"
"04/22/2006 09:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","3"
"04/22/2006 10:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","2"
"04/22/2006 11:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","2"
"04/22/2006 12:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","2"
"04/23/2006 01:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","4"
"04/23/2006 02:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","6"
"04/23/2006 03:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","4"
"04/23/2006 04:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","6"
"04/23/2006 05:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","5"
"04/23/2006 06:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","3"
"04/23/2006 07:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","5"
"04/23/2006 08:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","7"
"04/23/2006 09:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","7"
"04/23/2006 10:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","5"
"04/23/2006 11:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","4"
"04/23/2006 12:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","5"
"04/23/2006 01:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","6"
"04/23/2006 02:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","3"
"04/23/2006 03:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","1"
"04/23/2006 04:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","6"
"04/23/2006 05:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","3"
"04/23/2006 06:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","5"
"04/23/2006 07:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","8"
"04/23/2006 08:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","4"
"04/23/2006 09:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","6"
"04/23/2006 10:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","5"
"04/23/2006 11:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","7"
"04/23/2006 12:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","5"
"04/24/2006 01:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","4"
"04/24/2006 02:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","3"
"04/24/2006 03:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","4"
"04/24/2006 04:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","5"
"04/24/2006 05:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","7"
"04/24/2006 06:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","7"
"04/24/2006 07:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","7"
"04/24/2006 08:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","5"
"04/24/2006 09:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","4"
"04/24/2006 10:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","2"
"04/24/2006 12:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","1"
"04/24/2006 01:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","1"
"04/24/2006 02:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","4"
"04/24/2006 03:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","2"
"04/24/2006 04:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","1"
"04/24/2006 05:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","1"
"04/24/2006 06:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","1"
"04/24/2006 07:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","1"
"04/24/2006 08:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","1"
"04/24/2006 09:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","0"
"04/24/2006 10:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","0"
"04/24/2006 11:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","0"
"04/24/2006 12:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","0"
"04/25/2006 01:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","0"
"04/25/2006 02:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","0"
"04/25/2006 03:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","0"
"04/25/2006 04:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","0"
"04/25/2006 05:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","2"
"04/25/2006 06:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","3"
"04/25/2006 07:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","4"
"04/25/2006 08:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","6"
"04/25/2006 09:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","6"
"04/25/2006 10:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","9"
"04/25/2006 11:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","7"
"04/25/2006 12:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","8"
"04/25/2006 01:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","6"
"04/25/2006 02:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","6"
"04/25/2006 03:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","5"
"04/25/2006 04:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","5"
"04/25/2006 05:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","8"
"04/25/2006 06:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","11"
"04/25/2006 07:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","10"
"04/25/2006 08:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","12"
"04/25/2006 09:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","12"
"04/25/2006 10:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","12"
"04/25/2006 11:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","11"
"04/25/2006 12:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","11"
"04/26/2006 01:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","10"
"04/26/2006 02:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","9"
"04/26/2006 03:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","2"
"04/26/2006 04:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","1"
"04/26/2006 05:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","2"
"04/26/2006 06:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","2"
"04/26/2006 07:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","3"
"04/26/2006 08:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","3"
"04/26/2006 09:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","4"
"04/26/2006 10:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","2"
"04/26/2006 11:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","2"
"04/26/2006 12:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","2"
"04/26/2006 01:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","3"
"04/26/2006 02:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","2"
"04/26/2006 03:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","3"
"04/26/2006 04:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","2"
"04/26/2006 05:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","5"
"04/26/2006 06:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","6"
"04/26/2006 07:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","6"
"04/26/2006 08:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","8"
"04/26/2006 09:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","11"
"04/26/2006 10:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","12"
"04/26/2006 11:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","7"
"04/26/2006 12:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","6"
"04/27/2006 01:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","8"
"04/27/2006 02:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","6"
"04/27/2006 03:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","5"
"04/27/2006 04:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","4"
"04/27/2006 05:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","5"
"04/27/2006 06:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","7"
